Actor,Action,Target,Sentence,Date Received,Locations,Datetimes
Xi Jinping,met with,Li Qiang,Xi Jinping met with Li Qiang to discuss national economic policies.,2025-09-18T00:00:00+00:00,Beijing,recently
Xi Jinping,consulted,Wang Yi,Xi Jinping consulted Wang Yi on foreign policy matters.,2025-09-18T00:00:00+00:00,Beijing,recently
Xi Jinping,visited,Great Hall of the People,Xi Jinping visited the Great Hall of the People to host an international summit.,2025-09-18T00:00:00+00:00,Beijing,recently
Xi Jinping,inspected,Tiananmen Square,Xi Jinping inspected troops during a parade at Tiananmen Square.,2025-09-18T00:00:00+00:00,Beijing,recently
Xi Jinping,held talks with,Vladimir Putin,Xi Jinping held talks with Vladimir Putin to strengthen bilateral ties.,2025-09-18T00:00:00+00:00,Moscow,recently
Xi Jinping,spoke with,Joe Biden,Xi Jinping spoke with Joe Biden on strategic stability and trade.,2025-09-18T00:00:00+00:00,"Washington, D.C.",recently
Xi Jinping,met with,Kim Jong Un,Xi Jinping met with Kim Jong Un in Pyongyang to discuss regional security.,2025-09-18T00:00:00+00:00,Pyongyang,recently
Xi Jinping,visited,Shanghai,Xi Jinping visited Shanghai to meet international business leaders.,2025-09-18T00:00:00+00:00,Shanghai,recently
Xi Jinping,addressed,BRICS leaders,Xi Jinping addressed BRICS leaders during a summit in Johannesburg.,2025-09-18T00:00:00+00:00,Johannesburg,recently
Xi Jinping,attended,G20 summit,Xi Jinping attended the G20 summit in Rio de Janeiro and announced measures to support the Global South.,2025-09-18T00:00:00+00:00,Rio de Janeiro,recently
